Champion,Name,Erscheinungsdatum
Lucian,Demacia Vice,18-Jul-2019
Lucian,Striker,18-Jun-2014
Lucian,Heartseeker,02-Feb-2017
Lulu,Original,20-Mar-2012
Lulu,Wicked,20-Mar-2012
Lulu,Dragon Trainer,13-Nov-2012
Lulu,Pool Party,25-Jun-2015
Lulu,Star Guardian,05-Oct-2016
Lulu,Cosmic Enchantress,21-Aug-2018
Lulu,Pajama Guardian,21-Nov-2018
Lulu,Bittersweet,20-Mar-2012
Lulu,Winter Wonder,19-Dec-2013
Lux,Original,19-Oct-2010
Lux,Sorceress,19-Oct-2010
Lux,Spellthief,19-Oct-2010
Lux,Commando,17-Jun-2011
Lux,Steel Legion,01-Feb-2013
Lux,Star Guardian,17-May-2015
Lux,Elementalist,28-Nov-2016
Lux,Pajama Guardian,21-Nov-2018
Lux,Battle Academia,15-May-2019
Lux,Dark Cosmic,26-Mar-2020
Lux,Cosmic,26-Mar-2020
Lux,Imperial,29-Nov-2011
Lux,Lunar Empress,08-Feb-2018
Lux,Prestige Battle Academia,15-May-2019
Malphite,Original,01-Sep-2009
Malphite,Glacial,11-Jul-2012
Malphite,Mecha,23-Jul-2014
Malphite,Ironside,07-Oct-2015
Malphite,Odyssey,12-Sep-2018
Malphite,Dark Star,26-Mar-2020
Malphite,Shamrock,16-Mar-2010
Malphite,Coral Reef,08-Nov-2010
Malphite,Marble,21-Mar-2011
Malphite,Obsidian,15-Aug-2011
Malphite,Prestige Dark Star,26-Mar-2020
Malzahar,Original,01-Jun-2010
Malzahar,Shadow Prince,01-Jun-2010
Malzahar,Djinn,01-Feb-2011
Malzahar,Overlord,19-Sep-2011
Malzahar,Battle Boss,08-Aug-2017
Malzahar,Vizier,01-Jun-2010
Malzahar,Snow Day,15-Dec-2014
Malzahar,Hextech,18-Oct-2018
Malzahar,Worldbreaker,09-Apr-2020
Maokai,Original,16-Feb-2011
Maokai,Charred,16-Feb-2011
Maokai,Totemic,16-Feb-2011
Maokai,Meowkai,31-Mar-2016
